Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
08/25/1963	22:00 GMT	08/26/1963	00:40 GMT	11 deg 50' N	58 deg 20' E	SS Benvorlich (17421)	(?)	Aden towards Singapore. 25th August, 1963, at 2200 G.M.T. in 11 deg 50'N, 58 deg 20'E. Ran into heavily phosphorescence sea marked by a sharp demarcation line. Fifteen minutes later the sea was phosphorescence from horizon to horizon, colour greeny grey. Waves and swell apparently disappeared i.e. were indistinguishable thouhg ship continued to pitch and roll. Cloudless, fine and clear, wind S.W. force 6. At 2245 the sea became normal. 26th August, 1963, at 0010 G.M.T. at 11 deg 22'N, 59 deg 26'E. Ran into phosphorescence sea which gave off a diffused glow, no small bright patches of phosphorescence seen even in ship's wake. The diffused glow stretched form horizon to horizon was grey green in colour. The sea disappeared though wind did not diminish and vessel continued to pitch and roll. This phenomenon lasted for 30 minutes when the sea returned to normal with a fairly sharp demarcation line. Cloudless fine and clear. Wind S.W. force 6.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	126
09/29/1963	02:00 GMT	09/29/1963	11:00 GMT	2 deg 42' S	91 deg 18' W	SS Corinthis (17554)	(?)	Balboa towards Auckland. 29th September, 1963, between 0200 and 1100 G.M.T. At 0900 G.M.T. in 2 deg 42'S, 91 deg 18'W, the sea was observed to take on a milky appearance with a faint luminous glow. This phenomenon was visible from horizon to horizon and lasted until 1100. During this period the wet, air and sea temperatures remained nearly constant at 66 deg, 70 deg, and 70.5 deg respectively. Earlier, the sea temperaturre had dropped from 76 deg at 0200 to 70 deg at 0600.	Letter to Dr. Kay	Galapagos	Milky Sea	0	N/A	127
01/18/1964	21:55 GMT	01/18/1964	22:25 GMT	16 deg 38' N	55 deg 42' E	SS British Ambassador (18051)	(?)	Suez towards Mina al Ahmadi. 18th January, 1964, at 2155 G.M.T. in 16 deg 38'N, 55 deg 42'E. The whole sea took on a milky white appearance within a few minutes; the sea standing out clearly against the sky until at 2225 G.M.T. it suddenly disappeared.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	128
04/13/1964	21:45 GMT	04/13/1964	(?)	10 deg 36' N	59 deg 08' E	MV Asphalion (18083)	(?)	Aden towards Singapore. 13th April, 1964, at 2145 G.M.T. in 10 deg 36'N, 59 deg 08'E with wind ENE force 3 and a slight ENE swill, vessel passed through an extensive area of phosphorescence. Approximately 2 miles long and 300 feet wide. As the vessel passed into the area the whole ship and surrounding sea was lit by a vivid white light (as if a searchlight had suddenly been directed on the ship).	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	129
07/29/1964	20:00 UNK	07/29/1964	24:00 UNK	7 deg 42' N	15 deg 54' W	MV Crystal Cube (18366)	Mr. H. Scally, Third Officer	29th June 1964 between 2000 and 2400 in 7 deg 42' N, 15 deg 54' W. Phosphorescence was observed during this time. There were two different types, the first consisted of rapid light specks or flases which when the Aldis lamp was flashed on them appeared to move more rapidly. The second consisted of large white patches which gave a dull milky appearance with no flashing lights, only a dull glow. The sky was overcast, sea temperature 80 deg, wind SE by S 4.	Letter to Dr. Kay	West Africa	Milky Sea	0	N/A	130
07/31/1964	15:00 GMT	07/31/1964	15:06 GMT	8 deg 06' N	72 deg 45' E	MV Cardiganshire (18416)	Mr. I. A. Russell, Third Officer.	Captain S. E. Allerton, Aden towards Singapore. Observer Mr. I. A. Russell, Third Officer. 31st July, 1964, at 1500 G.M.T. in 8 deg 06'N, 72 deg 45'E. Whilest signalling to another ship, I noticed an unusual glow in the water, said glow began to grow brighter and brighter until an unusually large stretch was lit up, brilliant in comparison to the dark night. An approximate measurement of said patch would be 1/4 mile in length and several hundred yards wide. The life of the presumed phosphorescence was about 6 minutes after which it gradually died away until no signs remained. I considered this unusual sight worthy of recording as a phenomenon not usually seen,	Letter to Dr. Kay	Lakshadweep, India	(?)	2	N/A	131
08/01/1964	20:00 UNK	08/01/1964	24:00 UNK	0 deg 43' N	10 deg 20' W	MV Crystal Cube (18366)	Mr. H. Scally, Third Officer	1st July, 1964, between 2000 and 2400 in 00 deg 43'N, 10 deg 20'W. Large patches of phosphorescence were observed again of two types. First had bright white specks which appeared at ship's side and stretched about 100 yards outward. The second were long large patches with a milky appearance stretching as far as the eye could see. The impression given was that of running into surf. When the lamp was shone on the water, it appeared as if there was a large amount of weed in the water. A sample of water was taken in a plastic bucket but no weed was present. Bright specks were observed in the bucket but on shinint light into the bucket these disappeared. Sky was cloudless with no moon.	Letter to Dr. Kay	West Africa	Milky Sea	0	N/A	132
08/18/1964	02:45 LOC	08/18/1964	(?)	6 deg 18' N	79 deg 18' E	SS Caltex London (18336)	Mr. A. A. Bolt, Second Officer	Captain R. A. Robinson. Rastanura towards Hong Kong, observer Mr. A. A. Bolt, Second Officer. 18th August, 1964, in approximate position 6 deg 18' N, 79 deg 18' E. At 0245 ship's time vessel suddenly ran into a patch roughly 1000 feet by 1000 feet, of phosphorescence. None had been seen before and this patch was only seen when the ship actually ran into it, giving the impression that the passage of the ship actuated. it appeared as a sheet of milky sea with the ship in the centre.	Letter to Dr. Kay	Sri Lanka	(?)	1	N/A	133
08/18/1964	23:10 GMT	08/18/1964	23:45 GMT	7 deg 11' N	76 deg 55' E	SS Serenia	B. G. Calderwood, Second Officer	18th August 1964. Between 2310 and 2345 GMT a wide band of greyish-white water, with a clearly defined edge was seen about 150 yd from the ship, running in a 170 deg-350 deg direction. The further distant edge was not visible. No sparkle was seen in the band, but when the beam from the Aldis lamp was directed upon the surface, the area subjected to the light would glow quite vividly. The glow would gradually diminish in intensity when the lamp was switched off and disappeared entirely about 5 sec afterwards. Sea temp. 74 deg F. Position of ship: 7 deg 11'N, 76 deg 55'E. [Possibly a very weak milky sea.]	Mar. Obs. 1965, 07, Vol XXXV, no 209	Indian Ocean	Milky Sea	0	N/A	131
09/04/1964	01:45 GMT	09/04/1964	(?)	11 deg 06' N	89 deg 25' W	SS Pacific Northwest (18405)	Mr. C. R. Giles, Fourth Officer, Mr. J. R. Perks, navigating apprentice	Captain J. L. Sims, Panama towards Los Angeles. Observers Mr. C. R. Giles, Fourth Officer and Mr. J. R. Perks, navigating apprentice.  4th September 1964, at 0142 G.M.T. in 11 deg 06'N, 89 deg 25'W, course 298 deg, speed 16 knots. A band of phosphorescence was observed about 600 feet ahead. This phenomenon was observed from the port side of the bridge and appeared to stretch some 400-450 feet to port. It was seen to stretch to starboard for an indeterminate distance. As the vessel passed through, the phosphorescence could be seen to be made up of millions of tiny fragments, which gave off quite an appeciable light. This light, when first observed, gave the appearance of a disturbed sea, white in colour, but this colour turned greenish as the vessel passed through and returned to white again on clearing astern.	Letter to Dr. Kay	Central America	Milky Sea	0	N/A	134
10/01/1964	20:30 GMT	10/01/1964	(?)	19 deg 47' N	58 deg 41' E	SS British Sailor (18973)	Captain F. W. Cuffley, Mr. Mcfarlane, Chief Officer, Mr. Young, Third Officer and Mrs. Mcfarlane, the Chief Officer's wife	Captain F. W. Cuffley. 1st October 1964 at 2030 GMT in 19 deg 47'N, 58 deg 41'E on passage from suez towards Kharg Island. Passed through a large belt of phosphorescence about 1 1/2 miles across and stretching as far as the eye could see in a NW-SE direction. The sea appeared milky white and the general impression was of a snow covered field on a moonlight night. The "belt" was first noticed some 2 miles off when the look-out reported several ships ahead (there turned out to be small breaking waves), the sea and horizon blended and it appeared as if the bows were lifting as the ship approached the clearly defined extermity of the belt. On entering the belt everything took on a greenish white appearance and the bridge was lit by a glow from the sea, small breaking waves appeared as white flashes of luminosity. The further edge was again extremely well defined and the phenomenon was visible up to 2 1/2 miles astern. Winds southerly force 3, sea slight with occasional breaking crests, air temperature 76.5 deg, sea temperature 78.4 deg. Ship's course 035 deg speed 16 knots. (Observed by the Master, Mr. Mcfarlane, Chief Officer, Mr. Young Third Officer and Mrs. Mcfarlane, the Chief Officer's wife).	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	135
10/20/1964	23:50 GMT	10/20/1964	(?)	6 deg 29' N	78 deg 15' E	MV City of Khartoum (18420)	Unnamed Fourth Officer	Captain P. S. Morrison, Penang towards Aden, observer Fourth Officer. 20th October 1964, at 2350 G.M.T. in 6 deg 29'N, 78 deg 15'E. Marked phosphorescence to landward. Patches of milky-white observed but taking no distinct size or shape. On disturbing these, the glow from the water was near to daylight. No change in sea temperature. Sky completely overcast, wind force 3 from SW.	Letter to Dr. Kay	Sri Lanka	Milky Sea	0	N/A	136
11/03/1964	20:30 GMT	11/03/1964	(?)	34 deg 45' S	21 deg 59' E	MV Adventurer (18491)	C. E. E. Jones, Third Officer and unnamed look out	Captain L. J. Sherman, Durban towards Cape Town. Observers C. E. E. Jones, Third Officer and the look-out man. 3rd November, 1964 in 34 deg 45'S, 21 deg 59'E. During the evening watch, extensive areas of phosphorescence had been observed. At 2030 G.M.T. the vessel passed through numerous patches of "white water", so many in fact that it appeared as if the vessel was passing through a field of rotten ice. The Aldis beam was directed on to one patch as the vessel cut into it and large numbers of small fish were observed swimming away from the vessel. The smell of fish had been exceptionally strong during the preceding two hours.	Letter to Dr. Kay	South Africa	Milky Sea	0	N/A	137
12/06/1964	19:00 GMT	12/06/1964	21:15 GMT	20 deg 00' N	71 deg 18' E	SS City of New York (18988)	Mr. D. K. Keith, Second Officer	Captain R. H. Broadbent, Karachi towards Bombay. 6th December 1964 from 1900 GMT, sea waves were lit up by phosphorescence of a moderate brilliance, intensified in the ship generated waves. At 2050 in 20 deg N 71 deg 18' E, an area of phosphorescence of moderate brilliance was seen extending 000 deg - 180 deg approximately 1 1/2 miles on either side of the ship, sighted at a distance of about 1 mile ahead and lost to view about 1 mile astern. The western edge was well defined, but the eastern side gradually returned to the surrounding conditions. The width of the area being roughly estimated at half mile and ocntaining patches of increased brilliance, but ship generated waves had no effect on the brilliance. At 2115 all traces of luminescence in the sea disappeared. Odd weak patches returned from 2200 GMT onwards. Observer Mr. D. K. Keith, Second Officer.	Letter to Dr. Kay	India	Milky Sea	0	N/A	138
12/30/1964	17:00 GMT	12/30/1964	17:25 GMT	20 deg 04' N	64 deg 33' E	SS Humilaria (19545)	Mr. J. L. Taylor, Third Officer, Mr. J McAlister, Radio Officer, and Mr. C. Joyce, Able Seaman.	Captain G. Turnbull, Fao towards Tobango (Philippine Islands). 30th December 1964 (confirmed 1964) at 1700 GMT in 20 deg 04' N, 64 deg 33'E, vessel entered an extensive area of phosphoresecence. The width of the area affected by the phosphorescence was estimated to be from approximately 3 miltes to the north-east of the vessel to a similar distance to the south-west of the vessel. The length of the affected area was 7 miles measured by log. The area affected by the phosphorescence was quite distinct, appearing as a lighter, rather milky colour, against the background of a much darker sea. No change in sea temperature (75.5 deg) was observed either on entering the phosphorescence nor on leaving same. On leaving the area of phosphorescence at 1725 GMT, a very distinct demarcation line was observed between the region of phosphorescence and the unaffected sea area. Observed by Mr. J. L. Taylor, Third Officer, Mr. J. McAlister, Radio Officer and Mr. C. Joyce, Able Seaman.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	139
01/02/1965	00:30 UNK	01/02/1965	(?)	12 deg 08' N	50 deg 47' E	SS Helenus (18621)	Captain W. J. Collett, Mr. Barns, Second Officer, Mr. Gerard extra Second Officer and Messrs. Wallace and Goodban, Officer Cadets	2nd January 1965 at 0030 in 12 deg 08'N, 50 deg 47'E, a narrow white band was observed on the western horizon approximately 3 deg altitude. Immediately above this band was another, of greater vertical extend, black, resembling low stratiform cloud. At 0045 the ship entered an area of "white" water which appeared to be the type of bioluminescence known as "milky sea". The dividing line between this and unaffected sea water was clearly marked and extended roughly N-S as far as the eye could see, the land being 11 miles to the south. The diffused white light was bright enough to show up the silhouette of an unlit passing dhow. The phenomenon faded as dawn approached so that the westerly limit was not observed. On shining the signalling lamp on the sea during the phenomenon, minute yellow particles, similar to the red particles seen in other types of bioluminescence, were observed. No phosphorescence was observed in the immediate vicinity of the eastern limit. The black cloud effect dissipated on closing with the "milky sea". A sample of the water was preserved.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	140
01/03/1965	20:00 GMT	01/03/1965	22:30 GMT	11 deg 48' N	51 deg 30' E	MV Port Victor (18739)	(?)	Melbourne towards Aden. 3rd January 1965 while rounding Cape Guardafui at about 2000 GMT the whole sea surface was observed to take on a glowing, milky appearance. This reached intensity about 2030 GMT and finally faded quite abruptly at about 2230 GMT. Effect from horizon to horizon. Smooth to rippled sea throughout and cloudless fine and clear with no moon showing. No marked change in water temperature or sediment observed in water.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	140
01/04/1965	01:15 GMT	01/04/1965	02:00 GMT	12 deg 00' N	50 deg 42' E	MV Chakla (19120)	Mr. D. M. Ledger, Second Officer, and Mr. S. D. Minogue, Third Officer	Captain P. M. Pitcairn, Mombasa towards Aden. 4th January 1965 at 0115 GMT in 12 deg 00'N, 50 deg 42'E (5 miles north of Ras Alulu). Sea entirely phosphorescent giving a translucent effect and lighting up the ship as if by moonlight. On close observation the water was full of various sized specks of phosphorescence (largest about the size of sixpence). Wind easterly force 2, sea temperature 74.8 deg. This effect lasted from 0115 until 0200 GMT and its limits were quite clearly defined. Observers Mr. D. M. Ledger, Second Officer and Mr. S. D. Minogue, Third Officer.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	140
01/08/1965	19:20 GMT	01/08/1965	20:56 GMT	15 deg 57' N	57 deg 41' E	SS City of Pretoria (18765).	Mr. I. G. Tew, Third Officer, Mr. D. McSwann, Quarter Master, Mr. P. G. Pike, Second Officer	Captain C. P. Parks-Bradbury. 8th January 1965 at 1920 GMT in 15 deg 57'N, 57 deg 41'E, on passage from Bombay towards Aden. The horizon, which previously had been very firm became blurred and then disappeared altogether. As we approached it appeared as though we were coming into a bank of fog. On entering the "fog" it turned out that the water was "lit up" as though a light had been turned on under the sea. It stretched over the ocean as far as the eye could see. As we proceeded, the sea became brighter giving the effect of ice. I shone the Aldis light on the sea but it appeared quite normal and green in colour. A sample of the water looked clear and normal. It also tasted quite normal. At 1950 a distinct line of demarcation, running north and south was seen. On our side the sea was bright and on the other it was black. At 1955 we crossed this line back into normal water. On looking astern it looked as there there was white mist along the demarcation line. The night was exceptionally bright, no moon and cloudless. (Observed by Mr. I. G. Tew, Third Officer and Mr. D. McSwann, Quarter Master). At 2040 GMT on the same night in 15 deg 46'N, 57 deg 26'E the vessel again ran into an area of luminescent water, stretching from horizon to horizon. The appearance of the water, milky-white and opague, was identical to that of smaller patches of luminescence frequently seen in these waters. Neither the shining of the Aldis lamp nor the switching on of the radar produced any signs of activity in the water. The western edge of the area was reached at 2056 GMT and again showed a clear line of demarcation running north and south. Another vessel's steaming lights (radar distance off, 9 miles) were clearly visible throughout the time the vessel was in the area. The other thing of note about the occurrence was a distinct "musty" smell while the vessel was passing through the luminescent area. At 2059 GMT and for 2 minutes, marked phosphorescence was seen in the bow wave (observed by Mr. P. G. Pike, Second Officer).	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	141
01/28/1965	17:00 GMT	01/28/1965	(?)	20 deg 39' N	70 deg 33' E	MV Santhia	P.N. Crisp, Third Officer	Large patches of white coloured water were observed ahead and on both sides of the ship. They were visible at a distance of one and two miles, depending on their respective areas. The general trend of passage was roughly 045 deg T/225 deg T but in size and shape they were very irregular. The bow wave of the ship appeared phosphorescenct and no apparent change was observed when passing through these patches. Air temp.: 25.0 deg C, W.B.: 22.5 deg C, Sea temp.: 24.7 deg C, Pressure: 1016.0 mb, Wind: light, Calm, sea.	Indian Journal of Meteorology and Geophysics 1965, vol. 16 (1); Tim Wyatt Unpublished Notes/Paper	India	Milky Sea	0	N/A	142
01/31/1965	15:00 GMT	01/31/1965	16:40 GMT	19 deg 30' N	58 deg 26' E	MV Trebartha (19143)	(?)	31st January 1965 at 1500 GMT in 19 deg 30'N, 58 deg 26'E. Vessel entered "Milky sea" giving the effect of entering a fog. The horizon disappeared and the sea and sky appeared to be fused into one, though stars with low altitudes were still visible. Particles of phosphorescence were abundant in vessel's bow wave but not outside of it. These conditions continued until 1520 GMT when the effect of the Milky sea slowly reduced to normal conditions at 1640. A lamp was flashed across the sea but no effect was observed.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	141
07/20/1965	11:00 GMT	07/20/1965	14:00 GMT	4 deg 22' S	128 deg 12' E	MV Glenmoor (19331)	Captain Rowe, Mr. D. Robinson, Chief Officer, Mr. G. W. Richardson, Third Officer	Hong Kong towards Queensland. 20th July 1965 at 1100 GMT in 4 deg 22'S, 128 deg 12'E. Whilst the sky was dark, there being no moon and about 4/8th cloud, the whole surface of the sea around the ship suddenly began to glow, gradually getting brighter until at about 1145 GMT the whole of the surface of the sea, as far as the eye could see, was glowing brightly as if by some inherent green light. This did not appear to be the usual phosphorescence which seems to scintillate, but glowed steadily as though green neon lights were alight just under the surface of the sea. The sides of the ship seemed to light up and a bucket full of water was obtained from over side. Whilst the captain and myself were examining water in bucket for signs of marine life, a crew member who had been looking down on us from the deck above, stated that the water in the bucket was glowing. This was not apparent to the Captain or myself, who were of course much closer to the water in the bucket. The water in the bucket appeared to be clear. This luminescence laster for three hours until 1400 GMT being brightest at 1145, then very gradually declined in brightness until it disappeared. During this period, the following observations were made: wind SE 17 mph, air temperature 77 deg, wet bulb 72 deg, sea temperature 77 deg. Course of ship 120 deg, barometer 29.80 inches. Visibility appeared to have been a little better than five miles with a hazy atmosphere. The Master, Captain Rowe and Mr. D. Robinson the Chief Officer both stated that they had never seen such phosphorescence before. Observed by Mr. G. W. Richardson, Third Officer.	Letter to Dr. Kay	Banda Sea	Milky Sea	0	N/A	143
07/25/1965	20:15 LOC	07/26/1965	05:30 LOC	9 deg 30' S	52 deg 48' E	MS Van oler Hagen	F.M.P. Bouter, 3e stm; E.J.A. Urban, 2e stm; F.E. de Nieuwe, 1e stm	Varende in de Indische Oceaan +/- 300' NW. van Madagascar op weg van Melbourne naar Mombasa werd het volgende waargenomen, gedurende de EW. 25/7/65 en de HW. en DW. 26/7/65. Om +/- 20.15 EW. werd de zee melkwit, wat met de overeenkomstige tint van de bewolking de indruk gaf, dat een dichte mist werd ingevaren. De bewolking bestond op dat moment uit Stratus en Stratocumulus 8. Wolkenbasis geschat op +/- 200 meter. In het begin gaf een ander een spookachtige, bijna angstwekkende indruk, temeer daar het doodstil was; ondanks windkracht 3 á 4 aanvankelijk, was de zee bijna spiegelglad, behoudens een lage matig lange zuidelijke deining. Het verschijnsel wekte ook de indruk, dat door een sneeuwlandschap werd gevaren. Een andere vergelijking: een vliegtuig in een witte wolk. Vrij snel were vastgesteld, dat men hier niet te maken had met mist. Het zoeklicht werd opgetuigd en bij beschijning van het wateroppervlak, lichtten talrijke deeltjes (diertjes?) rood op. In mindere mate kwamen ook groene en witte deeltjes voor. Gedurende het verschijnsel was het normale lichten van de zee minder geworden. De deeltsjes schenen zich sprongsweijs voort te bewegen. De modelijkheid is echter niet uitgesloten, dat deze "sprongetjes" door de boeggolf werden veroorzaakt. In ieder geval werd geconsstateerd dat wind en zee geen invloed haddden op de voortbeweging van de deeltjes. Tegen 22.30 begonnen zee en wolken weer langzaam hun normale aanzien te herkrijgen. Om 23.00 was alles weer normaal. De rode deeltjes waren er nog steeds, doch minder talrijk dan eerst. Om 23.30 begon de totaal bewolkte hemel eruit te zien alsof de ochtendschemering langzaam intrad recht vooruit. De zee had echter nog steeds de normale donkere kleur met alleen de groen fluorescerende boeggolf. Om 23.45 werd de zee wederom melkwit nu echter binnen een tijdsbestek van één minuut, terwijl de eerste maal de varandering geleidelijk was ingetreden. De rood lichtende deeltjes kwamen weer veelvuldig voor. Tegen 00.50 begon het verschijnsel weer af te nemen, terwijl tevens de bewolking even brak. Te 01.00 wederom de volle intensiteit, zelfs not helderkder dan voorheen. Van 01.20 tot 01.40 werd alles geleidelijk minder om bijna geheel to verdwijnen. Om 2.30 wederom bovenvermelde verschijnselen. Om 04.15 begon het te regenen en om 04.20 begon de zee weer het normale anzien te krijgen. Om 04.35 was alles weer normaal. Om 04.45 was ook de regenbui afgelopen. Echter om 04.40 werd waargenomen, dat de kim aan bakboord +/- 2 strenaar achteren. Om 04.45 is de plek dwarsop. Om 05.30 is ook dit verschijnsel verdwenen. Van 05.00 tot 05.30 regenbui. Waarnemingen: Tyd: 01.00 Natte Bol: 22.5 Droge Bol: 25.0 Tz: 24.3 Wind 190 12 kts. Tyd: 03.00 Natte Bol: 21.5 Droge Bol: 25.0 Tz 24.2 Wind: 190 10 kts. Sg zeewater tijdens en na verschijnselen 1,012.	Tim Wyatt, Unpublished Notes/Paper	Madagascar	Milky Sea	0	N/A	144
08/03/1965	19:00 GMT	08/03/1965	21:00 GMT	10 deg 12' S	120 deg 00' E	MV Araluen (19361)	(?)	Townsville towards Djibouti. 3rd August 1965 between 1900 and 2100 GMT whilst the vessel was some 50 miles off the southwest tip of the Indonesian Island of Sumba (position at 1800 GMT was 10 deg 12'S, 120 deg 00'E). The phenomenon known as 'milky sea' was observed. The horizon was quite clear throughout the period but although there was a force 4 breeze from the east, no disturbance of the sea could be seen other than that immediately surrounding the ship. The air temperature was 75 deg and the sea temperature 79 deg and the sky was cloudless. Observed by Mr. M. J. Butler, Chief Officer	Letter to Dr. Kay	Java	Milky Sea	0	N/A	145
08/04/1965	23:00 GMT	08/05/1965	00:00 GMT	12 deg 30' N	56 deg 30' E	MV Glenfalloch (19243)	(?)	Panang towards Aden. 4th-5th August 1965 in 12 deg 30'N, 56 deg 30'E. At 0200 ship's time with a fresh SW monsoon blowing and the night being dark, the horizon suddenly paled and soon the ship was passing through luminous sea. It was as if the water was in a palely floodlit swimming pool; so clear it was, and very much lighter than the sky. As the waves broke, they shone clear white, but not brilliantly as in a phosphorescent sea. This phenomenon lasted for about an hour, finishing as quickly as it came.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	146
08/07/1965	22:20 UNK	08/07/1965	23:10 UNK	11 deg 50' N	59 deg 00' E	MV Delphic (19570)	Captain G. A. Borthwick, Mr. M. Sargeant, Second Officer and Mr. E. Glover, Cadet	Djibouti towards Colombo. 7th August 1965 in 11 deg 50'N, 59 deg 00'E. Marked phosphorescence of the white water type observed from 2220-2230 and from 2250-2310. In each case the effect was produced and terminated gradually although towards the end of each period the line of darked water would be seen advancing from the south-eastward. At the height of luminescence in both cases the effect extended to the lmit of visibility and the light contrast between sea and sky appeared to be reversed ie the sea appeared to be much lighter in tone than the sky and the overall effect of the sea and sky was that of a black and while photographic negative. The horizon was quite clearly defined against the sky. The moon had set about one hour previously and apart from starlight the night was black. During the phenomenon, the sea appeared in a greenish-white colour and somewhat turbid. The bow waves and breaking waves in the vicinity were still clearly visible although at a much reduced contrast with the sea to that produced under normal conditions. The light produced was not of sufficient intensity to cause relfection aboard the vessel. Sea temperature readings indicated a rise in temperature of 2 deg during the periods of the phenomenon. The use of radar did not produce any further phenomenon and the Aldis light had no effect either. Observed by Captain G. A. Borthwick, Mr. M. Sargeant, Second Officer and Mr. E Glover, Cadet.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	146
08/19/1965	19:00 GMT	08/19/1965	(?)	8 deg 57' S	40 deg 22' E	SS Kenya (19419)	(?)	Captain I. K. Bowerman, Dar Es Salam towards Beira, observer Mr. D. M. Grundry, Third Officer. 19th August 1965 at 1900 GMT in 8 deg 57' S, 40 deg 22'E. Passed through a vast area of coloured water. At 1915 the sea was a light grey colour and appeared to extend all round the ship to the limits of the visible horizon. The loom of the moon was faintly visible to port during this time and from 1700 GMT. A sample of water was taken and in a glass appeared to have no colour at all but when the Aldis light was shone on the sea, the latter appeared a gray-green colour. The whole effect with the total darkness of the sky was as if the ship were passing through an ice field on a dark night. No sparkle of phosphorescence was observed.	Letter to Dr. Kay	Tanzanian coast	Milky Sea	0	N/A	147
08/21/1965	16:45 GMT	08/21/1965	16:48 GMT	10 deg 02' N	60 deg 36' E	MV Afric (19565)	Mr. W. M. Douglas, Third Officer and Mr. M. Doyle, Radio Officer	Captain P. K. Murchison, Aden towards Colombo. 21st August 1965 at 1645 GMT in 10 deg 02'N, 60 deg 36' E. Initially a thin green line was observed near the horizon, similar in structure if not in colour to a moonlit horizon on a cloudy night, having a definite limit and apparently several miles away. Above was observed what appeared to be a very large black cumulonimbus cloud mass as one would expect with an approaching storm. Within one minute of the initial observation, the whole sea was illuminated with a phosphorescent lighting allowing wave structures to be observed almost as far as is possible in daylight. No individual brighter portions were present as in a wake or bow wave, the whole sea emitted light as might a luminous paint. The bow wave itself was lit with a bluish tinge and the sky darkened and only the brighter stars were visible. Within 3 minutes, the phenomenon had passed and the phosphorescent perimeter line passed astern, against the wind, at a far greater speen that that of the ship through the water and rapidly disappeared. Observation then showed the sky to be 2/8th clouded, with cumulus cloud only. No storm clouds were present. The moon had not risen. Sea temperature 78 deg. Observed by Mr. W.M. Douglas, Third Officer and Mr. M. Doyle, Radio Officer.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	148
08/21/1965	22:30 GMT	08/21/1965	(?)	39 deg 45' N	9 deg 24' W	MV Arlanza (19325)	(?)	Captain T. W. F. Bolland, Lisbon towards Vigo. Observor Mr. J. C. Jardine, Senior Third Officer. 21st August 1965 at 2230 GMT in 39 deg 45'N, 9 deg 24'W. Entered a large area of bright phosphorescence. On approaching the area it appeared so bright as to give the appearance of a fog bank, the sky being overcast and the moon not yet risen. A sample of sea water was taken but no living organisms were evident to the naked eye. At one stage fish were observed to be rising but by the time an Adlis lamp was shone they had stopped and size could not be ascertained. The water did not react to the shining of the Aldis Lamp	Letter to Dr. Kay	North of Lisbon in Portugal	?	2	N/A	146
08/22/1965	15:30 GMT	08/22/1965	(?)	12 deg 06' N	57 deg 36' E	MV Cardiganshire (19324)	(?)	Trincomalee towards Aden. 22nd August 1965 at 1530 GMT in 12 deg 06'N, 57 deg 36'E. Marine bioluminescence was observed. Wind SW Force 6, rough sea, heavy swell, cloudless sky. Sea temperature 78 deg. The bioluminescence appeared to be in the form of an even white luminescence a few feet above the sea surface. These conditions prevailed for about one hour before gradually fading away; during this time the luminescence stretched to the horizon in all directions. The radar was switched on but had no apparent effect upon the phenomenon. The Aldis lamp was played on the sea surface but this also had no visible effect. At 1830 GMT the same day in 12 deg 17'N, 56 deg, 55'E, further marine bioluminescence was encountered similar to the luminescence previously observed except that instead of fading gradually as the first area of bioluminescence did, the second area ended abruptly at a clearly defined line.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	146
08/27/1965	16:15 GMT	08/27/1965	17:30 GMT	14 deg 06' N	60 deg 30' E	SS City of New York (19853)	(?)	27th August 1965 at 1615 GMT in 14 deg 06'N, 60 deg 30'E. Remarkable luminosity of the sea was observed. The whole sea glowed with a pale green light which was sufficiently strong to make detection of wave crests impossible (wind force 5). None of the usual signs of phosphorescence such as sparkling particles in the bow wave were visible. The intensity of the glow varied somehwat over the period and disappeared at 17:30 GMT.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	146
